,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
24,mo,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,79.4601457,0.5421858,5552.0131,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,86.036957,0.7077813,2398.0981,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,78.0554392,1.052323,1546.7922,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,85.549664,0.3657534,9241.0114,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,68.7897016,1.642607,795.7085,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,77.1672328,0.9204772,2079.531,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,85.9369182,0.7946658,1913.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,90.8999383,0.3579776,6454.998,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,91.2367954,0.6487514,1899.662,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,87.7401673,0.7201163,2074.3293,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,91.7785584,0.2353036,13627.9991,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,85.087324,0.3362749,11221.002,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,76.8953633,0.6675751,3986.5667,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,89.4949688,0.4818353,4049.4744,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,86.2742867,0.2992222,13226.0088,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,93.3422461,0.745563,1117.9885,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,83.5457049,0.4833128,5885.0036,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,63.0790642,1.5172822,1011.6382,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,80.8507674,0.5051296,6067.78,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,87.5309351,0.2462314,18001.4999,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,79.2631641,0.7370872,3025.3537,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,89.6483168,0.3427804,7898.0729,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,91.4838071,0.9027465,956.0004,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,90.5160472,0.3446513,7226.9514,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,82.9620126,0.4777091,6193.9905,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,83.5910695,0.7764437,2275.2032,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-16,,2020-10-05,19,62.8453068,1.7505782,761.9448,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,80.9375,1.3896052,799.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,84.1338727,0.6020239,3683.1076,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,85.4513946,0.6731347,2743.6995,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,87.1243318,0.4428851,5719.0915,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,91.721018,0.1853728,22098.0321,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,86.277434,0.4684672,5394.7853,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,93.7469763,0.3766092,4133.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,96.1026616,0.8446409,525.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,92.7102248,0.7464234,1213.0292,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,86.3107273,0.2609443,17352.0,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,83.6677176,0.4473278,6828.9364,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,93.6340641,0.7092329,1185.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,76.3920657,0.6712892,4002.0906,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,72.7972691,0.9822915,2052.3284,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,87.7807592,0.3155393,10773.0008,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,83.4138746,0.472156,6206.0066,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,81.411598,0.6998045,3090.1167,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,87.1629886,0.5245304,4066.8183,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,82.3834772,0.6221586,3749.3678,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,93.3604805,0.3427005,5278.0115,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,93.4006668,0.3829087,4203.9688,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,86.1400455,0.7507539,2118.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,86.075054,0.3382982,10473.0083,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,86.1473539,0.487518,5021.0362,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,79.305168,0.549615,5433.0818,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,85.2270152,0.7335488,2339.8472,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,77.7091909,1.0761107,1495.8371,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-17,,2020-10-05,18,85.2399933,0.3734749,9020.0115,state,fb-survey
