,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
39,ri,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,9.8832433,0.8622359,1197.989,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,21.8838569,0.5187317,6353.0029,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,32.5303994,1.4056738,1110.781,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,25.4190156,0.5388618,6528.7804,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,20.0806431,0.2894463,19155.503,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,24.5616509,0.7617535,3193.1611,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,16.8635549,0.4079484,8424.2289,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,7.3982081,0.8252278,1006.0006,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,14.6600262,0.4013972,7764.9493,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,21.4917675,0.5070793,6561.9907,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,22.34423,0.8386235,2467.2041,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-16,,2020-10-05,19,20.7657876,1.4165452,819.9744,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,21.8171296,1.4058831,863.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,25.7540871,0.6961053,3946.1071,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,27.9231497,0.8207579,2987.6521,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,15.2883375,0.4619692,6068.4454,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,14.253046,0.2289082,23324.0408,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,15.8430424,0.4833178,5707.7255,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,10.8446179,0.4711259,4356.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,11.1012433,1.3251514,562.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,10.9586253,0.8758388,1272.0365,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,18.4412433,0.2860681,18378.9994,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,24.9723629,0.5082573,7252.9327,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,15.9448819,1.0276895,1269.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-17,,2020-10-05,18,27.8521755,0.6872927,4254.0134,state,fb-survey
